hvg_label	k	status	n	n_components	lcc_frac	method	pearson_r	spearman_rho
3k	9	ok	53556	1	1	geodesic	0.875817918274817	0.876398796047003
3k	10	ok	53556	1	1	geodesic	0.871536546603901	0.869702941066863
3k	11	ok	53556	1	1	geodesic	0.875451243803057	0.874129057605309
3k	12	ok	53556	1	1	geodesic	0.878183394618499	0.877309385671321
3k	13	ok	53556	1	1	geodesic	0.876517493310574	0.87486950537652
3k	14	ok	53556	1	1	geodesic	0.875826772135595	0.87572748927875
3k	15	ok	53556	1	1	geodesic	0.876631560119933	0.877412446230349
3k	16	ok	53556	1	1	geodesic	0.878228501546568	0.879960596274744
3k	17	ok	53556	1	1	geodesic	0.879904200117219	0.882769891046825
3k	18	ok	53556	1	1	geodesic	0.880521167145766	0.884329685569325
3k	19	ok	53556	1	1	geodesic	0.883584419717316	0.889258377685481
3k	20	ok	53556	1	1	geodesic	0.885321128882101	0.891522507682904
3k	21	ok	53556	1	1	geodesic	0.885057371353692	0.891768569234519
3k	22	ok	53556	1	1	geodesic	0.884743478471276	0.891841651025372
3k	23	ok	53556	1	1	geodesic	0.883292711112181	0.890339115907346
3k	24	ok	53556	1	1	geodesic	0.883294842349949	0.890247515364193
3k	25	ok	53556	1	1	geodesic	0.880966736073988	0.887643957625563
5k	9	ok	53556	1	1	geodesic	0.878078727499482	0.884446410669636
5k	10	ok	53556	1	1	geodesic	0.876046472980432	0.881171898832931
5k	11	ok	53556	1	1	geodesic	0.877832446571449	0.882032359465489
5k	12	ok	53556	1	1	geodesic	0.87335459385442	0.875368009788494
5k	13	ok	53556	1	1	geodesic	0.874756858684611	0.87603373830008
5k	14	ok	53556	1	1	geodesic	0.867910486181745	0.866450240828091
5k	15	ok	53556	1	1	geodesic	0.866626815478816	0.864452683170745
5k	16	ok	53556	1	1	geodesic	0.866746631424644	0.864395421375934
5k	17	ok	53556	1	1	geodesic	0.86615802083894	0.86329918947755
5k	18	ok	53556	1	1	geodesic	0.866317247958791	0.864980971456444
5k	19	ok	53556	1	1	geodesic	0.867711410477441	0.866680220946936
5k	20	ok	53556	1	1	geodesic	0.865756746334078	0.864086632605859
5k	21	ok	53556	1	1	geodesic	0.865522878268471	0.864098062574877
5k	22	ok	53556	1	1	geodesic	0.866855153122103	0.866740997522776
5k	23	ok	53556	1	1	geodesic	0.868578162625363	0.870626208455354
5k	24	ok	53556	1	1	geodesic	0.866847099713469	0.868158926071085
5k	25	ok	53556	1	1	geodesic	0.8670986396952	0.868425373116916
8k	9	ok	53556	1	1	geodesic	0.883765246433078	0.895848553647974
8k	10	ok	53556	1	1	geodesic	0.877130774425782	0.886345778769875
8k	11	ok	53556	1	1	geodesic	0.873401884931657	0.880450320751957
8k	12	ok	53556	1	1	geodesic	0.873093179170737	0.878864795258763
8k	13	ok	53556	1	1	geodesic	0.870679408694868	0.872131079037186
8k	14	ok	53556	1	1	geodesic	0.869100829101545	0.869197276755754
8k	15	ok	53556	1	1	geodesic	0.871325829427355	0.871569378633887
8k	16	ok	53556	1	1	geodesic	0.873759416261496	0.873990625771542
8k	17	ok	53556	1	1	geodesic	0.866547573115089	0.863843814450104
8k	18	ok	53556	1	1	geodesic	0.86777753035359	0.86603257669922
8k	19	ok	53556	1	1	geodesic	0.866679951097701	0.864004274113984
8k	20	ok	53556	1	1	geodesic	0.866863584216983	0.865364745602599
8k	21	ok	53556	1	1	geodesic	0.86633442985101	0.865329277013517
8k	22	ok	53556	1	1	geodesic	0.865285556465868	0.865931523469148
8k	23	ok	53556	1	1	geodesic	0.865342759695076	0.867350915299801
8k	24	ok	53556	1	1	geodesic	0.866048987565643	0.868741790177706
8k	25	ok	53556	1	1	geodesic	0.866572941700913	0.869960213718757
3k	9	ok	53556	1	1	diffusion	0.632621562594919	0.907888881113087
3k	10	ok	53556	1	1	diffusion	0.636922539310013	0.910321821195476
3k	11	ok	53556	1	1	diffusion	0.641224252918312	0.914447907244261
3k	12	ok	53556	1	1	diffusion	0.645362472542908	0.91774447614778
3k	13	ok	53556	1	1	diffusion	0.649556766093166	0.921667189257862
3k	14	ok	53556	1	1	diffusion	0.653100435951281	0.924420568021195
3k	15	ok	53556	1	1	diffusion	0.65748183238171	0.926030978539069
3k	16	ok	53556	1	1	diffusion	0.661428640964565	0.926153832490089
3k	17	ok	53556	1	1	diffusion	0.664907309249589	0.927983692987934
3k	18	ok	53556	1	1	diffusion	0.667548507611209	0.927779957467821
3k	19	ok	53556	1	1	diffusion	0.671150254532914	0.929706796845609
3k	20	ok	53556	1	1	diffusion	0.67417486940202	0.930491256505783
3k	21	ok	53556	1	1	diffusion	0.676981378011962	0.930531989948693
3k	22	ok	53556	1	1	diffusion	0.679605576077026	0.931855369124024
3k	23	ok	53556	1	1	diffusion	0.682642948174382	0.933088700139962
3k	24	ok	53556	1	1	diffusion	0.685624389742145	0.934574611079263
3k	25	ok	53556	1	1	diffusion	0.688697594883302	0.934286198859194
5k	9	ok	53556	1	1	diffusion	0.624700898645911	0.892411563793535
5k	10	ok	53556	1	1	diffusion	0.628384027203373	0.893949912582683
5k	11	ok	53556	1	1	diffusion	0.631600580418836	0.896869764954651
5k	12	ok	53556	1	1	diffusion	0.634913607716166	0.897816644282114
5k	13	ok	53556	1	1	diffusion	0.637676032412164	0.900148129700411
5k	14	ok	53556	1	1	diffusion	0.640817034676451	0.902795688250178
5k	15	ok	53556	1	1	diffusion	0.643833309473522	0.904636456660083
5k	16	ok	53556	1	1	diffusion	0.646415486285928	0.907863287543051
5k	17	ok	53556	1	1	diffusion	0.649369599665926	0.910193277842696
5k	18	ok	53556	1	1	diffusion	0.651929845515208	0.913193142397482
5k	19	ok	53556	1	1	diffusion	0.654097756265914	0.914744052844322
5k	20	ok	53556	1	1	diffusion	0.656168091980762	0.914322490092502
5k	21	ok	53556	1	1	diffusion	0.658024061608066	0.916294224939022
5k	22	ok	53556	1	1	diffusion	0.660296279496641	0.917477531942182
5k	23	ok	53556	1	1	diffusion	0.66275778637257	0.920437469858892
5k	24	ok	53556	1	1	diffusion	0.664825117859953	0.920428705324858
5k	25	ok	53556	1	1	diffusion	0.667393503057658	0.922476668570748
8k	9	ok	53556	1	1	diffusion	0.621946495028022	0.889956485718387
8k	10	ok	53556	1	1	diffusion	0.625859032627828	0.89262164562222
8k	11	ok	53556	1	1	diffusion	0.628590895145471	0.89184085229373
8k	12	ok	53556	1	1	diffusion	0.631793015385861	0.895729141138707
8k	13	ok	53556	1	1	diffusion	0.634370881846801	0.893808233132361
8k	14	ok	53556	1	1	diffusion	0.636936718075596	0.895579105086785
8k	15	ok	53556	1	1	diffusion	0.639847626762806	0.897813378071043
8k	16	ok	53556	1	1	diffusion	0.642127976830681	0.897240780697144
8k	17	ok	53556	1	1	diffusion	0.644560935127635	0.900365550431594
8k	18	ok	53556	1	1	diffusion	0.646519841830718	0.905630047489684
8k	19	ok	53556	1	1	diffusion	0.64867273009267	0.905834958158483
8k	20	ok	53556	1	1	diffusion	0.65075701780343	0.909292270552605
8k	21	ok	53556	1	1	diffusion	0.652596943264897	0.911368388961296
8k	22	ok	53556	1	1	diffusion	0.654733403438547	0.91324459213962
8k	23	ok	53556	1	1	diffusion	0.656563048022058	0.914944214317039
8k	24	ok	53556	1	1	diffusion	0.658499844863832	0.91635066030103
8k	25	ok	53556	1	1	diffusion	0.660212461392431	0.918502639304549
3k	9	ok	53556	1	1	potential	0.917187792946509	0.907888881113087
3k	10	ok	53556	1	1	potential	0.91954262316251	0.910321821195476
3k	11	ok	53556	1	1	potential	0.923157675910533	0.914447907244261
3k	12	ok	53556	1	1	potential	0.925898544375356	0.91774447614778
3k	13	ok	53556	1	1	potential	0.928698420676389	0.921667189257862
3k	14	ok	53556	1	1	potential	0.930875080003617	0.924420568021195
3k	15	ok	53556	1	1	potential	0.932158969390444	0.926030978539069
3k	16	ok	53556	1	1	potential	0.932779349880353	0.926153832490089
3k	17	ok	53556	1	1	potential	0.934547992435488	0.927983692987934
3k	18	ok	53556	1	1	potential	0.93465780734144	0.927779957467821
3k	19	ok	53556	1	1	potential	0.93639120565183	0.929706796845609
3k	20	ok	53556	1	1	potential	0.936946415983502	0.930491256505783
3k	21	ok	53556	1	1	potential	0.937148598819712	0.930531989948693
3k	22	ok	53556	1	1	potential	0.938021254593255	0.931855369124024
3k	23	ok	53556	1	1	potential	0.939000478658842	0.933088700139962
3k	24	ok	53556	1	1	potential	0.940152264292081	0.934574611079263
3k	25	ok	53556	1	1	potential	0.939808370539507	0.934286198859194
5k	9	ok	53556	1	1	potential	0.902662226135281	0.892411563793535
5k	10	ok	53556	1	1	potential	0.905317026344089	0.893949912582683
5k	11	ok	53556	1	1	potential	0.908668065871816	0.896869764954651
5k	12	ok	53556	1	1	potential	0.909959753473659	0.897816644282114
5k	13	ok	53556	1	1	potential	0.912495246975048	0.900148129700411
5k	14	ok	53556	1	1	potential	0.914732109524145	0.902795688250178
5k	15	ok	53556	1	1	potential	0.916462999787558	0.904636456660083
5k	16	ok	53556	1	1	potential	0.919268371339231	0.907863287543051
5k	17	ok	53556	1	1	potential	0.920738748955604	0.910193277842696
5k	18	ok	53556	1	1	potential	0.922686558219147	0.913193142397482
5k	19	ok	53556	1	1	potential	0.924203675528138	0.914744052844322
5k	20	ok	53556	1	1	potential	0.924091541173026	0.914322490092502
5k	21	ok	53556	1	1	potential	0.925867423872259	0.916294224939022
5k	22	ok	53556	1	1	potential	0.927247091455713	0.917477531942182
5k	23	ok	53556	1	1	potential	0.929426263205605	0.920437469858892
5k	24	ok	53556	1	1	potential	0.929412413160936	0.920428705324858
5k	25	ok	53556	1	1	potential	0.930739935099173	0.922476668570748
8k	9	ok	53556	1	1	potential	0.898432775160043	0.889956485718387
8k	10	ok	53556	1	1	potential	0.902181247846687	0.89262164562222
8k	11	ok	53556	1	1	potential	0.9022289999429	0.89184085229373
8k	12	ok	53556	1	1	potential	0.906025017812501	0.895729141138707
8k	13	ok	53556	1	1	potential	0.90454997640418	0.893808233132361
8k	14	ok	53556	1	1	potential	0.906848035721962	0.895579105086785
8k	15	ok	53556	1	1	potential	0.909595060646192	0.897813378071043
8k	16	ok	53556	1	1	potential	0.910075100817401	0.897240780697144
8k	17	ok	53556	1	1	potential	0.913002275253964	0.900365550431594
8k	18	ok	53556	1	1	potential	0.91683666348766	0.905630047489684
8k	19	ok	53556	1	1	potential	0.917098381779175	0.905834958158483
8k	20	ok	53556	1	1	potential	0.919084047216734	0.909292270552605
8k	21	ok	53556	1	1	potential	0.920977720301218	0.911368388961296
8k	22	ok	53556	1	1	potential	0.92224737142543	0.91324459213962
8k	23	ok	53556	1	1	potential	0.923944541912743	0.914944214317039
8k	24	ok	53556	1	1	potential	0.925472798725566	0.91635066030103
8k	25	ok	53556	1	1	potential	0.927217807283307	0.918502639304549
